file,event,length,width,tracesum,tracemax,tracedev,padnum
273_800p.h5,169,13.720528974481201,5.976238022279854,145258.47265624994,22864.805052895983,3944.7904991556984,35
273_800p.h5,170,13.64708844244644,5.152811558004714,147673.61328125,19140.009353235026,3611.5686312761386,29
273_800p.h5,171,13.5296154803204,0.45514079751600023,147319.30859375,22022.50878764895,3898.6581740149154,43
273_800p.h5,172,13.649569592424703,5.158732915290716,147992.82812500003,23424.922309231766,4000.14746342085,29
273_800p.h5,173,13.454014472210496,1.6433647350783487,149677.10742187497,15847.787556684523,3196.5178051696744,17
273_800p.h5,174,13.744812318868702,4.688128516771823,147955.69140624997,22923.6634237529,3951.0733410358016,28
273_800p.h5,175,13.586206768274593,4.056627001190063,144790.61718750003,18843.72424967271,3631.2994227685167,22
273_800p.h5,176,13.82317771943764,4.067755658010644,147702.8017578125,17033.81691300659,3382.0434427228483,20
273_800p.h5,177,13.740416151629404,7.038639391949924,152933.40234374997,12017.808741247682,2942.915180619035,32
273_800p.h5,178,13.648233406275518,6.191316703065531,150681.794921875,13859.434875168796,3129.8589294775747,26
273_800p.h5,179,13.724964553113793,6.167695909516938,146213.310546875,12869.412789341724,2877.305623249861,24
273_800p.h5,180,13.66887490341993,5.944481900463888,156708.82812500003,16625.397499970168,3421.3287977126383,31
273_800p.h5,181,13.767962863227254,4.75203470093205,138053.40625,20491.75318789392,3612.754933716799,28
273_800p.h5,182,13.568753037742479,4.676924234127015,150069.103515625,13481.948908694329,2974.7200251610484,19
273_800p.h5,183,13.695920551421468,6.276392508197216,145293.22265625003,19462.53886753565,3645.147798494774,38
273_800p.h5,184,13.44890353675342,5.160644374652163,148225.59375,14122.298148004322,3096.006504390481,23
273_800p.h5,185,13.804274148458752,6.038129082741818,156622.50390625,11637.512346193216,2833.9924583536,25
273_800p.h5,186,13.433440315555933,6.264214902739451,149688.0625,14443.625602127866,3140.5659758622446,31
273_800p.h5,187,13.490862687316634,3.8740722715289966,146867.79296875006,24658.735808672285,4095.002031714582,23
273_800p.h5,188,13.822081835512368,5.533442996832271,144089.71484375003,22461.413392534734,3876.647936215918,34
273_800p.h5,189,13.781352506701348,5.584350228696363,147423.35937499994,20974.582515211147,3786.074716199683,34
273_800p.h5,190,13.66497829537104,4.581063783631864,146696.828125,23618.06826373872,4031.531018346385,28
273_800p.h5,191,13.723656135087156,1.5023527658674791,150174.79296875,10582.756570917296,2676.571821926354,17
273_800p.h5,192,13.409403335062663,4.475186619336992,151543.38671874997,14671.503010093367,3191.9432492879523,20
273_800p.h5,193,13.617153220961026,5.063900498573363,147509.32031249997,22762.867293964373,3976.2158470187587,30
273_800p.h5,194,13.58608841249822,7.068606276081923,150807.7265625,13341.030616842081,3035.8685333393764,33
273_800p.h5,195,13.467108222115472,6.121363620896822,149543.26562499997,12558.44544964902,2926.705419389719,26
273_800p.h5,196,13.759155401869304,5.234624135990897,149923.91796874997,13658.241029268413,3008.666996771938,23
273_800p.h5,197,13.651428360010364,0.8426294303329528,148109.09765625,16721.324360322174,3349.800795451312,28
273_800p.h5,198,13.61025133679129,4.4206717987212265,145561.00390625003,23709.47903666251,3989.575180683038,27
273_800p.h5,199,13.70124688868457,6.257420786763063,146706.37109375,21579.425978970623,3810.4958347185097,38
273_800p.h5,200,13.632029709292379,5.731658722697009,151691.123046875,14696.789961477341,3100.064835811172,26
273_800p.h5,201,13.765541635277938,6.251055779733205,150604.015625,16918.608441278408,3437.3670392688787,31
273_800p.h5,202,13.485897901118042,3.6854207763298397,150370.67187500003,18123.075814899345,3581.6878691747274,18
273_800p.h5,203,13.608634496656393,6.280226943730523,140594.36718750003,17143.440986725844,3405.5938858387235,34
273_800p.h5,204,13.671321547111909,6.996692390942579,149289.43359375003,18325.42616968745,3513.124371302056,41
273_800p.h5,205,13.68311267757556,4.249341040463325,145899.39453124997,20739.510482800248,3728.1424514975297,25
273_800p.h5,206,13.528303659454068,5.050311000873442,150181.90624999994,15924.699593660209,3399.3392468042885,26
273_800p.h5,207,13.492957085777729,1.5433736464146455,150302.82617187497,13175.624801627633,2995.35337478907,23
273_800p.h5,208,13.565567950527889,5.621029696935345,147124.59375,17368.536919915725,3476.086106885852,32
273_800p.h5,209,13.590757555902611,1.5983184221925224,142623.61328125,19537.652620308512,3565.51774948007,30
273_800p.h5,210,13.617712517044566,6.933586362715709,147823.09765625006,21634.129206845828,3900.700361931237,43
273_800p.h5,211,13.7422142362203,1.090551714496915,148239.84375,12524.924371868032,3026.09382254426,25
273_800p.h5,212,13.512132969386254,4.378408158855211,150516.60156250003,23924.49418562937,4140.329927397928,26
273_800p.h5,213,2.6632713425033896,1.2020418090907443,143675.814453125,23636.648444646282,3936.507413054585,18
273_800p.h5,214,13.804586085066584,5.6592963089421255,151075.41015625006,16963.893898060283,3561.1119627472535,32
273_800p.h5,215,13.622767706261314,5.890873910507934,148253.126953125,12946.704690597911,2949.893881561798,26
273_800p.h5,216,13.516845944638511,5.549572857823629,144583.12499999997,20240.52615733227,3702.7183817225527,33
273_800p.h5,217,13.706247975521729,4.669960873349392,146732.498046875,21111.395216145804,3835.080632181502,27
273_800p.h5,218,13.667869715535426,5.426756560105129,138258.98828125,21471.81829967259,3727.570264447848,33
273_800p.h5,219,13.705112630496526,4.861298517358034,146210.30468749994,23511.792399210874,4010.7940595106184,29
273_800p.h5,220,5.181207586603211,1.9437747266551086,148232.46679687497,11733.133764987395,2788.6047130251004,13
